code,airport_name
AKQ,Gunung Batin Airport
AKR,Akure Airport
AKS,Auki Gwaunaru'u Airport
AKT,RAF Akrotiri
AKU,Aksu Airport
AKV,Akulivik Airport
AKW,Aghajari Airport
AKX,Aktobe Airport
AKY,Sittwe Airport
ALA,Almaty International Airport
ALB,Albany International Airport
ALC,Alicante–Elche Airport
ALD,Alerta Airport
ALE,Alpine–Casparis Municipal Airport
ALF,Alta Airport
ALG,Houari Boumediene Airport
ALH,Albany Airport
ALI,Alice International Airport
ALJ,Alexander Bay Airport
ALK,Asella Airport
ALL,Albenga Airport
ALM,Alamogordo–White Sands Regional Airport
ALN,St. Louis Regional Airport
ALO,Waterloo Regional Airport
ALP,Aleppo International Airport
ALQ,Alegrete Airport
ALR,Alexandra Aerodrome
ALS,San Luis Valley Regional Airport
ALT,Alenquer Airport
ALU,Alula Airport
ALW,Walla Walla Regional Airport
ALX,Thomas C. Russell Field
ALY,El Nouzha Airport
ALZ,Alitak Seaplane Base
AMA,Rick Husband Amarillo International Airport
AMB,Ambilobe Airport
AMC,Am Timan Airport
AMD,Sardar Vallabhbhai Patel International Airport
AME,Alto Molocue Airport
AMF,Ama Airport
AMG,Amboin Airport
AMH,Arba Minch Airport
AMI,Selaparang Airport
AMJ,Almenara Airport
AMK,Animas Air Park
AML,Puerto Armuelles Airport
AMM,Queen Alia International Airport
AMN,Gratiot Community Airport
AMO,Mao Airport
AMP,Ampanihy Airport
AMQ,Pattimura Airport
AMS,Amsterdam Airport Schiphol
AMT,Amata Airport
AMU,Amanab Airport
AMV,Amderma Airport
AMW,Ames Municipal Airport
AMX,Ammaroo Airport
AMY,Ambatomainty Airport
AMZ,Ardmore Airport
ANA,Angama Airstrip
ANB,Anniston Regional Airport
ANC,Ted Stevens Anchorage International Airport
AND,Anderson Regional Airport
ANE,Angers – Loire Airport
ANF,Cerro Moreno International Airport
ANG,Angoulême – Cognac International Airport
ANI,Aniak Airport
ANJ,Zanaga Airport
ANK,Etimesgut Air Base
ANL,Andulo Airport
ANM,Antsirabato Airport
ANN,Annette Island Airport
ANO,Angoche Airport
ANP,Lee Airport
ANQ,Tri-State Steuben County Airport
ANR,Antwerp International Airport
ANS,Andahuaylas Airport
ANU,V. C. Bird International Airport
ANV,Anvik Airport
ANW,Ainsworth Regional Airport
ANX,"Andøya Airport, Andenes"
ANY,Anthony Municipal Airport
ANZ,Angus Downs Airport
AOA,Aroa Airport
AOB,Annanberg Airport
AOC,Leipzig–Altenburg Airport
AOD,Abou-Deïa Airport
AOE,Anadolu Airport
AOG,Anshan Teng'ao Airport
AOH,Lima Allen County Airport
AOI,Ancona Falconara Airport
AOJ,Aomori Airport
AOK,Karpathos Island National Airport
AOL,Paso de los Libres Airport
AOM,Adam Airport
AON,Arona Airport
AOO,Altoona–Blair County Airport
AOP,Alférez FAP Alfredo Vladimir Sara Bauer Airport
AOR,Sultan Abdul Halim Airport
AOS,Amook Bay Seaplane Base
AOT,Aosta Valley Airport
AOU,Attapeu International Airport
APA,Centennial Airport
APB,Apolo Airport
APC,Napa County Airport
APF,Naples Municipal Airport
APG,Phillips Army Airfield
APH,A.P. Hill Army Airfield
API,Captain Luis F. Gómez Niño Air Base
APK,Apataki Airport
APL,Nampula Airport
APN,Alpena County Regional Airport
APO,Antonio Roldán Betancourt Airport
APP,Asapa Airport
APQ,Arapiraca Airport
APR,April River Airport
APS,Anápolis Airport
APT,Marion County Airport
APU,Apucarana Airport
APV,Apple Valley Airport
APW,Faleolo International Airport
APX,Arapongas Airport
APY,Alto Parnaíba Airport
APZ,Zapala Airport
AQA,Araraquara Airport
AQB,Quiché Airport
AQG,Anqing Tianzhushan Airport
AQI,Al Qaisumah/Hafr Al Batin Airport
AQJ,King Hussein International Airport
AQM,Ariquemes Airport
AQP,Rodríguez Ballón International Airport
AQS,Saqani Airport
AQY,Girdwood Airport
ARA,Acadiana Regional Airport
ARB,Ann Arbor Municipal Airport
ARC,Arctic Village Airport
ARD,Alor Island Airport
ARE,Antonio (Nery) Juarbe Pol Airport
ARF,Acaricuara Airport
ARG,Walnut Ridge Regional Airport
ARH,Talagi Airport
ARI,Chacalluta International Airport
ARJ,Arso Airport
ARK,Arusha Airport
ARL,Arly Airport
ARM,Armidale Airport
ARN,Stockholm Arlanda Airport
ARO,Arboletes Airport
ARP,Aragip Airport
ARQ,El Troncal Airport
ARR,Alto Río Senguer Airport
ARS,Aragarças Airport
ART,Watertown International Airport
ARU,Araçatuba Airport
ARV,Lakeland Airport
ARW,Arad International Airport
ARY,Ararat Airport
ARZ,N'zeto Airport
ASA,Assab International Airport
ASB,Ashgabat International Airport
ASC,Ascención de Guarayos Airport
ASD,Andros Town International Airport
ASE,Aspen–Pitkin County Airport
ASF,Narimanovo Airport
ASG,Ashburton Aerodrome
ASH,Nashua Airport
ASI,RAF Ascension Island
ASJ,Amami Airport
ASK,Yamoussoukro Airport
ASL,Harrison County Airport
ASM,Asmara International Airport
ASN,Talladega Municipal Airport
ASO,Asosa Airport
ASP,Alice Springs Airport
ASQ,Austin Airport
ASR,Erkilet International Airport
AST,Astoria Regional Airport
ASU,Silvio Pettirossi International Airport
ASV,Amboseli Airport
ASW,Aswan International Airport
ASX,John F. Kennedy Memorial Airport
ASY,Ashley Municipal Airport
ASZ,Asirim Airport
ATA,Comandante FAP Germán Arias Graziani Airport
ATB,Atbara Airport
ATC,Arthur's Town Airport
ATD,Uru Harbour Airport
ATE,Antlers Municipal Airport
ATF,Chachoan Airport
ATG,PAF Base Minhas
ATH,Athens International Airport
ATI,Artigas International Airport
ATJ,Antsirabe Airport
ATK,Atqasuk Edward Burnell Sr. Memorial Airport
ATL,Hartsfield–Jackson Atlanta International Airport
ATM,Altamira Airport
ATN,Namatanai Airport
ATO,Ohio University Airport
ATP,Aitape Airstrip
ATQ,Sri Guru Ram Dass Jee International Airport
ATR,Atar International Airport
ATS,Artesia Municipal Airport
